wordCount,sentenceCount,ratio,NN,NNP,VBZ,NNPS,NNS,IN,PRP,VB,JJ,VBP,VBG,error,output
274,16,17.125,60,14,11,0,14,17,16,13,20,11,12,50,8
328,20,16.4,55,17,4,0,39,11,21,21,19,22,18,44,9
225,14,16.071428571428573,38,13,6,2,29,5,9,9,16,17,9,24,7
459,27,17.0,75,73,6,0,54,19,11,19,38,27,5,117,10
363,30,12.1,66,7,7,0,40,16,11,28,27,14,5,37,8
194,15,12.933333333333334,35,15,3,0,8,10,11,8,18,10,4,31,8
416,30,13.866666666666667,91,12,8,0,29,18,10,22,25,12,14,61,10
407,39,10.435897435897436,69,15,7,0,34,15,24,16,43,40,10,55,10
371,35,10.6,83,10,8,0,23,13,10,17,30,19,7,51,9
388,26,14.923076923076923,71,13,13,0,32,16,23,17,34,27,9,50,9
278,22,12.636363636363637,52,17,5,1,27,6,10,8,25,19,9,38,8
301,25,12.04,57,17,3,1,26,12,9,14,36,21,12,36,8
140,6,23.333333333333332,29,4,3,0,10,7,10,8,17,11,3,15,7
244,25,9.76,50,1,2,0,30,9,9,11,37,17,2,23,6
139,13,10.692307692307692,27,3,1,0,27,6,4,2,16,11,3,16,6
454,35,12.971428571428572,97,25,9,0,51,18,11,23,42,29,5,70,12
268,18,14.88888888888889,50,6,3,0,10,12,21,17,15,16,7,37,8
285,15,19.0,42,10,2,0,21,5,16,22,17,13,14,32,8
58,7,8.285714285714286,17,2,1,0,3,1,2,3,8,5,2,31,4
136,11,12.363636363636363,20,6,2,1,23,5,10,7,19,11,0,24,6
285,20,14.25,57,8,3,0,22,9,9,13,20,19,10,36,8
41,2,20.5,11,4,0,0,5,3,0,3,2,3,1,3,3
422,30,14.066666666666666,66,39,8,1,41,20,23,26,23,26,10,62,10
516,39,13.23076923076923,82,33,11,0,41,22,20,26,47,28,13,116,11
235,16,14.6875,47,7,3,0,21,11,8,13,24,18,5,26,8
317,22,14.409090909090908,48,26,11,0,31,5,15,15,23,21,4,78,9
106,7,15.142857142857142,13,9,3,0,17,4,5,6,8,7,0,25,4
305,28,10.892857142857142,44,9,4,1,34,20,9,17,34,16,13,30,9
299,23,13.0,43,13,5,0,37,13,15,10,32,24,6,52,9
203,15,13.533333333333333,28,4,3,0,28,8,11,9,12,26,7,15,8
443,34,13.029411764705882,64,32,7,0,30,16,30,19,34,29,10,99,10
440,36,12.222222222222221,66,43,9,0,40,15,22,18,33,24,20,90,10
142,12,11.833333333333334,19,10,1,0,22,8,5,6,14,10,5,22,6
300,26,11.538461538461538,57,7,9,1,30,13,13,23,22,16,3,34,8
342,33,10.363636363636363,48,7,3,1,34,10,17,23,38,31,2,36,9
456,24,19.0,55,51,8,1,43,19,13,17,39,20,23,100,10
411,31,13.258064516129032,67,16,5,0,37,14,29,19,40,29,15,61,12
260,17,15.294117647058824,59,6,0,0,20,8,10,14,24,15,8,20,8
345,22,15.681818181818182,77,18,6,0,29,9,11,19,35,17,17,30,10
150,15,10.0,40,10,3,0,10,3,10,3,12,11,2,14,7
32,3,10.666666666666666,4,0,1,0,8,1,2,2,2,4,0,0,2
206,14,14.714285714285714,24,12,1,0,27,11,12,8,22,18,4,21,8
110,8,13.75,24,3,1,0,13,4,5,7,6,4,8,11,6
267,28,9.535714285714286,59,19,0,0,30,2,8,8,21,20,7,29,8
267,20,13.35,62,16,1,0,21,16,7,16,21,10,7,46,8
225,11,20.454545454545453,50,6,14,0,8,6,19,11,24,13,2,23,8
245,18,13.61111111111111,56,2,5,0,22,12,10,12,24,18,4,30,8
440,33,13.333333333333334,94,13,2,1,22,20,21,18,27,30,15,56,11
250,27,9.25925925925926,29,3,2,1,46,18,15,13,20,20,0,13,6
66,4,16.5,13,0,1,0,8,4,2,7,4,1,0,7,5
386,13,29.692307692307693,61,15,5,0,21,22,37,31,28,25,10,30,9
194,15,12.933333333333334,36,7,5,0,25,5,6,7,22,17,3,23,7
340,27,12.592592592592593,52,9,6,0,32,20,31,14,13,25,9,47,8
365,30,12.166666666666666,77,12,11,0,23,10,18,17,29,17,14,55,10
174,11,15.818181818181818,22,7,5,1,18,7,7,12,20,8,0,20,8
343,22,15.590909090909092,80,9,4,0,49,14,8,7,40,15,15,22,10
240,23,10.434782608695652,45,14,6,1,30,9,1,8,26,6,6,29,9
166,14,11.857142857142858,24,5,3,0,16,6,12,8,10,15,6,22,7
343,22,15.590909090909092,54,23,5,0,33,19,17,19,47,26,11,43,8
62,6,10.333333333333334,14,1,0,0,9,2,3,2,7,3,0,12,4
238,23,10.347826086956522,45,7,2,0,21,8,6,24,21,12,16,16,8
223,14,15.928571428571429,39,9,6,0,30,4,14,12,25,25,5,27,8
226,17,13.294117647058824,37,8,2,1,26,8,19,17,19,17,0,26,8
158,6,26.333333333333332,24,12,4,0,18,6,18,4,11,15,6,16,7
331,24,13.791666666666666,44,14,4,0,29,13,23,22,25,11,18,43,9
293,25,11.72,39,2,4,1,35,6,14,18,26,16,15,29,9
239,20,11.95,57,5,4,1,17,11,12,12,22,16,4,30,8
331,33,10.030303030303031,54,12,6,1,39,9,14,15,27,15,9,45,9
200,18,11.11111111111111,30,7,3,0,21,7,9,11,15,14,8,23,7
381,28,13.607142857142858,78,48,4,0,26,12,11,18,31,16,3,93,12
339,21,16.142857142857142,52,22,8,1,54,19,12,18,13,26,4,41,10
